ID,Text,Comment
LV.MHA.AutoStart,"Auto-start",
LV.MHA.AutoStartDesc,"Automatically start the API server when loading the game.
You do not need a HTTP Adapter building if you enable this option.",
LV.MHA.AutoStartPort,"Auto-start Port",
LV.MHA.AutoStartPortDesc,"The port used for auto-starting the API server.",
LV.MHA.Authentication,"Authentication",
LV.MHA.AuthenticationDesc,"Enable authentication for the API server. You will need to provide a password to access the API endpoints.
Leave empty to disable.
<RedHighlight>Note: only apply to endpoints provided using MoreHttpApi.</RedHighlight>",
